id,car_name,car_brand,car_tag,price,new_price,complexOutlook,firstCert,odograph,allPower,carBelong,range,isDome,wheelBase,drivingMode
116433773,小鹏汽车P7 2020款 562N性能版,小鹏汽车,小鹏汽车P7,256000,368951,8成新,2020-09,3.0万公里,316kW,长沙(湘),552km,1,2998,双电机四驱
116493769,特斯拉 Model Y 2021款 标准续航后驱版,特斯拉,Model Y,299800,316783,99成新,2022-01,600公里,220kW,武汉(鄂),525km,0,2890,后置后驱
116365378,比亚迪e6 2016款 400 精英版,比亚迪,比亚迪e6,62500,358205,7成新,2017-03,11.9万公里,90kW,北京(京),400km,1,2830,前置前驱
115845892,荣威Ei5 2018款 互联网豪华版,荣威,荣威Ei5,74500,232073,8成新,2018-04,2.6万公里,85kW,唐山(冀),301km,1,2665,前置前驱
116412350,特斯拉 Model Y 2021款 标准续航后驱版,特斯拉,Model Y,288800,316783,99成新,2021-12,0.5万公里,220kW,济南(鲁),525km,0,2890,后置后驱
115678931,特斯拉 Model 3 2020款 标准续航后驱升级版,特斯拉,Model 3,205800,316740,8成新,2020-06,1.9万公里,202kW,成都(川),445km,0,2875,后置后驱
116414841,ARCFOX极狐 ARCFOX αT 2021款 653S+,ARCFOX极狐,ARCFOX αT,240000,300566,99成新,2022-02,100公里,160kW,石家庄(冀),653km,1,2915,前置前驱
116422070,欧拉黑猫 2019款 351km 亲子版,欧拉,欧拉黑猫,62800,80107,8成新,2021-04,2.9万公里,35kW,廊坊(冀),351km,1,2475,前置前驱
116426551,大众 ID.4 CROZZ 2021款 长续航PRO两驱版,大众,ID.4 CROZZ,199800,260404,95成新,2021-04,1.1万公里,150kW,深圳(粤),550km,0,2765,后置后驱
116484126,江淮iEV6E 2017款 iEV6E,江淮,江淮iEV6E,25500,139482,7成新,2017-10,3.8万公里,45kW,北京(京),170km,1,2390,前置前驱
115795192,广汽新能源 Aion V(埃安V) 2020款 70 驾享智尊版,广汽埃安,Aion V(埃安V),146900,209495,8成新,2021-02,2.8万公里,135kW,兰州(甘),500km,1,2830,前置前驱
116486232,特斯拉 Model Y 2021款 长续航全轮驱动版 3D7,特斯拉,Model Y,333000,377635,95成新,2021-06,1.2万公里,331kW,厦门(闽),594km,0,2890,双电机四驱
115850976,几何汽车 几何A 2019款 升级款 高维标准续航立方版,几何汽车,几何A,93800,173675,7成新,2019-07,6.2万公里,120kW,成都(川),410km,1,2700,前置前驱
116149679,小鹏汽车P7 2020款 670E,小鹏汽车,小鹏汽车P7,268000,306428,99成新,2022-01,100公里,196kW,重庆(渝),656km,1,2998,后置后驱
115830009,特斯拉 Model 3 2020款 标准续航后驱升级版,特斯拉,Model 3,213000,316740,9成新,2020-10,1.7万公里,202kW,广州(粤),445km,0,2875,后置后驱
115793441,比亚迪 汉 2020款 EV 超长续航版尊贵型,比亚迪,汉,208800,283090,8成新,2020-12,2.1万公里,163kW,上海(沪),605km,1,2920,前置前驱
115832464,五菱汽车 宏光MINI EV 2020款 悦享款 磷酸铁锂,五菱,宏光MINI EV,33800,42116,95成新,2021-12,100公里,20kW,吉林(吉),170km,1,1940,后置后驱
116340738,江淮iEV6E 2017款 iEV6E,江淮,江淮iEV6E,25500,139482,8成新,2017-07,3.6万公里,45kW,南宁(桂),170km,1,2390,前置前驱
116421555,比亚迪 元新能源 2018款 EV360 智联炫酷型,比亚迪,元新能源,65800,101925,8成新,2019-01,3.8万公里,70kW,达州(川),305km,1,2535,前置前驱
115949024,特斯拉 Model 3 2019款 标准续航后驱升级版,特斯拉,Model 3,214000,316740,8成新,2020-01,2.4万公里,175kW,常州(苏),460km,0,2875,后置后驱
116338620,欧拉黑猫 2021款 351km 标准型,欧拉,欧拉黑猫,75000,80107,9成新,2021-01,2.1万公里,35kW,天津(津),351km,1,2475,前置前驱
116245072,五菱汽车 宏光MINI EV 2021款 马卡龙臻享款 磷酸铁锂,五菱,宏光MINI EV,41800,47326,9成新,2021-12,0.1万公里,20kW,南京(苏),170km,1,1940,后置后驱
115793007,特斯拉 Model 3 2020款 改款 标准续航后驱升级版,特斯拉,Model 3,219000,292751,9成新,2021-01,3.2万公里,202kW,廊坊(冀),468km,0,2875,后置后驱
116447900,五菱汽车 宏光MINI EV 2020款 自在款 三元锂,五菱,宏光MINI EV,28800,35603,9成新,2020-10,1.0万公里,20kW,大连(辽),120km,1,1940,后置后驱
116532148,五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,五菱,宏光MINI EV,28800,35603,9成新,2021-09,0.7万公里,20kW,郑州(豫),120km,1,1940,后置后驱
116149638,比亚迪 秦新能源 2015款 1.5T 双冠旗舰Plus版,比亚迪,秦新能源,43000,238586,7成新,2015-08,6.7万公里,110kW,上海(沪),70km,1,2670,前置前驱
116546659,奇瑞新能源 QQ冰淇淋 2022款 甜筒,奇瑞,QQ冰淇淋,40000,41139,95成新,2022-01,100公里,20kW,温州(浙),120km,1,1960,后置后驱
116370377,R汽车 ER6 2021款 新动版 620km 智享版,R汽车,ER6,138800,190825,95成新,2022-01,800公里,135kW,深圳(粤),620km,1,2715,前置前驱
116413432,新特汽车 SITECH DEV 1 2018款 创睿版,新特汽车,SITECH DEV 1,39800,169224,8成新,2019-04,4.3万公里,55kW,东莞(粤),305km,1,2415,前置前驱
115836489,特斯拉 Model Y 2021款 标准续航后驱版,特斯拉,Model Y,283000,316783,95成新,2021-09,0.4万公里,220kW,郑州(豫),525km,0,2890,后置后驱
116388378,理想汽车 理想ONE 2020款 增程6座版,理想,理想ONE,284800,356034,9成新,2021-02,2.8万公里,240kW,深圳(粤),180km,1,2935,双电机四驱
116202812,R汽车 ER6 2021款 新动版 620km 智行版,R汽车,ER6,136800,176714,8成新,2021-09,1.0万公里,135kW,成都(川),620km,1,2715,前置前驱
116433745,零跑汽车 零跑T03 2020款 400标准版,零跑汽车,零跑T03,80000,71423,9成新,2021-06,1.4万公里,55kW,温州(浙),403km,0,2400,前置前驱
116487337,五菱汽车 宏光MINI EV 2020款 悦享款 磷酸铁锂,五菱,宏光MINI EV,38500,42116,99成新,2022-02,100公里,20kW,西安(陕),170km,1,1940,后置后驱
116123232,特斯拉 Model 3 2019款 长续航全轮驱动版(进口),特斯拉,Model 3,250000,477498,7成新,2019-07,3.4万公里,258kW,石家庄(冀),590km,0,2875,双电机四驱
116319782,比亚迪 汉 2020款 EV 超长续航版尊贵型,比亚迪,汉,210800,283090,8成新,2020-12,2.0万公里,163kW,成都(川),605km,1,2920,前置前驱
115914198,特斯拉 Model 3 2020款 改款 标准续航后驱升级版,特斯拉,Model 3,227000,292751,9成新,2021-06,0.5万公里,202kW,台州(浙),468km,0,2875,后置后驱
116171738,荣威 科莱威CLEVER 2020款 都市风尚版,荣威,科莱威CLEVER,34800,65127,9成新,2020-07,1.4万公里,37kW,阳泉(晋),260km,1,2000,前置前驱
116508075,长安 奔奔E-Star 2020款 心动版,长安,奔奔E-Star,63800,75765,9成新,2021-11,0.7万公里,55kW,长沙(湘),301km,1,2410,前置前驱
116149839,东风风光 风光E3 2019款 EVR 增程智慧型,东风风光,风光E3,75000,162603,8成新,2020-12,4.7万公里,120kW,重庆(渝),100km,1,2655,后置后驱
116149643,小鹏汽车P7 2020款 670E,小鹏汽车,小鹏汽车P7,265000,306428,99成新,2022-01,100公里,196kW,重庆(渝),656km,1,2998,后置后驱
116418710,欧拉iQ 2018款 高续航版 智联型,欧拉,欧拉iQ,66000,124611,9成新,2018-12,1.7万公里,120kW,北京(京),401km,1,2615,前置前驱
116483698,宝马iX3 2021款 创领型,宝马,宝马iX3,318000,477498,8成新,2020-12,1.6万公里,210kW,武汉(鄂),500km,0,2864,后置后驱
115700252,特斯拉Model X 2016款 Model X 75D,特斯拉,特斯拉Model X,482000,864902,8成新,2019-05,5.5万公里,386kW,郑州(豫),406km,0,2965,双电机四驱
116217391,比亚迪 唐新能源 2019款 EV600D 四驱智联创领型,比亚迪,唐新能源,185000,355925,8成新,2019-05,6.3万公里,360kW,深圳(粤),500km,1,2820,双电机四驱
116438308,众泰E200 2018款 Pro,众泰,众泰E200,38000,75874,8成新,2018-09,2.5万公里,60kW,深圳(粤),301km,1,1810,后置后驱
116245361,特斯拉 Model 3 2022款 后轮驱动版,特斯拉,Model 3,258800,289538,9成新,2022-01,400公里,202kW,台州(浙),-,0,2875,后置后驱
115833520,特斯拉 Model 3 2020款 改款 标准续航后驱升级版,特斯拉,Model 3,223800,292751,9成新,2021-01,1.1万公里,202kW,南通(苏),468km,0,2875,后置后驱
116422210,荣威Ei5 2018款 互联网旗舰版,荣威,荣威Ei5,66000,242928,7成新,2018-11,7.3万公里,85kW,廊坊(冀),301km,1,2665,前置前驱
116388196,特斯拉 Model 3 2019款 标准续航后驱升级版(进口),特斯拉,Model 3,195000,395002,7成新,2019-12,7.0万公里,175kW,青岛(鲁),460km,0,2875,后置后驱
116541324,特斯拉 Model Y 2022款 后轮驱动版,特斯拉,Model Y,294600,327638,95成新,2022-02,100公里,202kW,重庆(渝),-,0,2890,后置后驱
115865087,五菱汽车 宏光MINI EV 2021款 马卡龙时尚款 磷酸铁锂,五菱,宏光MINI EV,39800,40813,9成新,2021-12,100公里,20kW,郑州(豫),120km,1,1940,后置后驱
116150619,五菱汽车 宏光MINI EV 2021款 马卡龙臻享款 磷酸铁锂,五菱,宏光MINI EV,46000,47326,95成新,2021-12,400公里,20kW,郑州(豫),170km,1,1940,后置后驱
115678654,欧拉iQ 2018款 高续航版 智联型,欧拉,欧拉iQ,72000,124611,8成新,2019-01,2.5万公里,120kW,唐山(冀),401km,1,2615,前置前驱
116467066,特斯拉 Model Y 2021款 标准续航后驱版,特斯拉,Model Y,288800,316783,95成新,2021-12,0.4万公里,220kW,盐城(苏),525km,0,2890,后置后驱
116337686,北汽新能源 EU系列 2017款 EU260 乐享版,北汽新能源,EU系列,48600,234352,7成新,2017-05,4.5万公里,100kW,潍坊(鲁),260km,1,2650,前置前驱
116372625,小鹏汽车G3 2019款 智享版,小鹏汽车,小鹏汽车G3,98000,192996,7成新,2019-06,6.5万公里,145kW,深圳(粤),351km,1,2610,前置前驱
116523723,特斯拉 Model 3 2020款 改款 标准续航后驱升级版,特斯拉,Model 3,209600,292751,9成新,2020-10,1.6万公里,202kW,重庆(渝),468km,0,2875,后置后驱
